Identifiers (BCID) for paired and unpaired bunches for run 267358:
(Begin/end of run: Tue Jun 09 2015 22:57:23 − Wed Jun 10, 02:19:47)
LB range	    Stable
beams	  Crossing (Paired)	  Unpaired Beam-1 	  Unpaired Beam-2
1	−	2:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801	895, 975, 3119	3071
3	−	4:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801	895, 975, 3119	1052, 1132, 3071
5	−	7:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455	895, 975, 3119	1052, 1132, 3071
8	−	8:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455	895, 975, 1535, 1615, 1695, 3119	1052, 1132, 3071
9	−	9:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695	895, 975, 3119	1052, 1132, 3071
10	−	10:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695	895, 975, 1786, 1866, 1946, 2026, 3119	1052, 1132, 3071
11	−	12:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026	895, 975, 2106, 2186, 2266, 2346, 3119	1052, 1132, 3071
13	−	14:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026, 2106, 2186, 2266, 2346	895, 975, 3119	1052, 1132, 3071
15	−	15:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026, 2106, 2186, 2266, 2346	895, 975, 3119	1052, 1132, 2426, 2506, 2586, 3071
16	−	17:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026, 2106, 2186, 2266, 2346, 2426, 2506, 2586	895, 975, 3119	1052, 1132, 3071
18	−	18:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026, 2106, 2186, 2266, 2346, 2426, 2506, 2586	895, 975, 2677, 2757, 2837, 2917, 3119	1052, 1132, 3071
19	−	19:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026, 2106, 2186, 2266, 2346, 2426, 2506, 2586, 2677, 2757, 2837, 2917	895, 975, 3119	1052, 1132, 3071
20	−	20:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026, 2106, 2186, 2266, 2346, 2426, 2506, 2586, 2677, 2757, 2837, 2917	895, 975, 3000, 3080, 3119, 3160, 3240	1052, 1132, 3071
21	−	21:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026, 2106, 2186, 2266, 2346, 2426, 2506, 2586, 2677, 2757, 2837, 2917, 3000, 3080, 3160, 3240	895, 975	1052, 1132, 3071
22	−	197:   	T    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026, 2106, 2186, 2266, 2346, 2426, 2506, 2586, 2677, 2757, 2837, 2917, 3000, 3080, 3160, 3240	895, 975	1052, 1132
198	−	212:   	T    	−	−	−
