Identifiers (BCID) for paired and unpaired bunches for run 267367:
(Begin/end of run: Wed Jun 10 2015 16:43:44 − Thu Jun 11, 00:57:47)
LB range	    Stable
beams	  Crossing (Paired)	  Unpaired Beam-1 	  Unpaired Beam-2
1	−	68:   	−    	−	−	−
69	−	69:   	−    	−	641	−
70	−	79:   	−    	641	−	−
80	−	81:   	−    	1, 81, 161, 241, 641	−	−
82	−	82:   	−    	1, 81, 161, 241	641	−
83	−	83:   	−    	1, 81, 161, 241	−	321, 401, 481, 561
84	−	86:   	−    	1, 81, 161, 241	−	321, 401, 481, 561, 641, 721, 801
87	−	87:   	−    	1, 81, 161, 241, 321, 401, 481, 561	−	641, 721, 801
88	−	90:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801	895, 975	−
91	−	91:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801	895, 975, 1215, 1295, 1375, 1455	−
92	−	92:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801	895, 975, 1215, 1295, 1375, 1455, 1535, 1615, 1695	−
93	−	94:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801	895, 975, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026	−
95	−	110:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801	895, 975, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026, 2106, 2186, 2266, 2346	−
111	−	113:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801	895, 975, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026, 2106, 2186, 2266, 2346, 2426, 2506, 2586	−
114	−	114:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801	895, 975, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026, 2106, 2186, 2266, 2346, 2426, 2506, 2586, 2677, 2757, 2837, 2917	−
115	−	174:   	−    	−	−	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801
175	−	195:   	−    	−	−	−
196	−	196:   	−    	−	−	641
197	−	206:   	−    	641	−	−
207	−	207:   	−    	641	1, 81, 161, 241	−
208	−	208:   	−    	1, 81, 161, 241, 641	−	−
209	−	209:   	−    	1, 81, 161, 241, 641	321, 401, 481, 561	−
210	−	210:   	−    	1, 81, 161, 241, 321, 401, 481, 561	−	641
211	−	212:   	−    	1, 81, 161, 241, 321, 401, 481, 561	−	−
213	−	213:   	−    	1, 81, 161, 241, 321, 401, 481, 561	−	641, 721, 801
214	−	215:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801	−	−
216	−	217:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801	895, 975	−
218	−	219:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801	895, 975, 1215, 1295, 1375, 1455	−
220	−	221:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801	895, 975, 1215, 1295, 1375, 1455	1052, 1132
222	−	222:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455	895, 975, 1535, 1615, 1695	1052, 1132
223	−	227:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695	895, 975	1052, 1132
228	−	230:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695	895, 975, 1786, 1866, 1946, 2026	1052, 1132
231	−	231:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695	895, 975, 1786, 1866, 1946, 2026, 2106, 2186, 2266, 2346	1052, 1132
232	−	232:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026	895, 975, 2106, 2186, 2266, 2346	1052, 1132
233	−	234:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026	895, 975, 2106, 2186, 2266, 2346, 2426, 2506, 2586	1052, 1132
235	−	236:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026, 2106, 2186, 2266, 2346	895, 975, 2426, 2506, 2586	1052, 1132
237	−	238:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026, 2106, 2186, 2266, 2346, 2426, 2506, 2586	895, 975	1052, 1132
239	−	239:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026, 2106, 2186, 2266, 2346, 2426, 2506, 2586	895, 975	1052, 1132, 2677, 2757, 2837, 2917
240	−	240:   	−    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026, 2106, 2186, 2266, 2346, 2426, 2506, 2586, 2677, 2757, 2837, 2917	895, 975	1052, 1132, 3000, 3080, 3160, 3240
241	−	501:   	T    	1, 81, 161, 241, 321, 401, 481, 561, 641, 721, 801, 1215, 1295, 1375, 1455, 1535, 1615, 1695, 1786, 1866, 1946, 2026, 2106, 2186, 2266, 2346, 2426, 2506, 2586, 2677, 2757, 2837, 2917, 3000, 3080, 3160, 3240	895, 975	1052, 1132
502	−	511:   	T    	−	−	−
