Identifiers (BCID) for paired and unpaired bunches for run 267639:
(Begin/end of run: Sun Jun 14 2015 06:36:04 − 17:47:43)
LB range	    Stable
beams	  Crossing (Paired)	  Unpaired Beam-1 	  Unpaired Beam-2
1	−	24:   	−    	−	−	−
25	−	25:   	−    	−	466	−
26	−	33:   	−    	−	466	476
34	−	34:   	−    	1, 3, 5, 7, 9, 11	466	476
35	−	35:   	−    	1, 3, 5, 7, 9, 11	211, 213, 215, 217, 219, 221, 466	476
36	−	36:   	−    	1, 3, 5, 7, 9, 11	211, 213, 215, 217, 219, 221	476
37	−	37:   	−    	1, 3, 5, 7, 9, 11, 211, 213, 215, 217, 219, 221	−	−
38	−	39:   	−    	1, 3, 5, 7, 9, 11, 211, 213, 215, 217, 219, 221	895, 897, 899, 901, 903, 905	−
40	−	40:   	−    	1, 3, 5, 7, 9, 11, 211, 213, 215, 217, 219, 221	895, 897, 899, 901, 903, 905, 1105, 1107, 1109, 1111, 1113, 1115	892, 894, 896, 898, 900, 902
41	−	42:   	−    	1, 3, 5, 7, 9, 11, 211, 213, 215, 217, 219, 221	895, 897, 899, 901, 903, 905, 1105, 1107, 1109, 1111, 1113, 1115	892, 894, 896, 898, 900, 902, 1102, 1104, 1106, 1108, 1110, 1112
43	−	45:   	−    	1, 3, 5, 7, 9, 11, 211, 213, 215, 217, 219, 221	895, 897, 899, 901, 903, 905, 1105, 1107, 1109, 1111, 1113, 1115	892, 894, 896, 898, 900, 902, 1102, 1104, 1106, 1108, 1110, 1112, 1337
46	−	46:   	−    	1, 3, 5, 7, 9, 11, 211, 213, 215, 217, 219, 221	895, 897, 899, 901, 903, 905, 1105, 1107, 1109, 1111, 1113, 1115	892, 894, 896, 898, 900, 902, 1102, 1104, 1106, 1108, 1110, 1112, 1337, 1786, 1788, 1790, 1792, 1794, 1796
47	−	48:   	−    	1, 3, 5, 7, 9, 11, 211, 213, 215, 217, 219, 221, 1337	895, 897, 899, 901, 903, 905, 1105, 1107, 1109, 1111, 1113, 1115	892, 894, 896, 898, 900, 902, 1102, 1104, 1106, 1108, 1110, 1112, 1786, 1788, 1790, 1792, 1794, 1796
49	−	49:   	−    	1, 3, 5, 7, 9, 11, 211, 213, 215, 217, 219, 221, 1337, 1786, 1788, 1790, 1792, 1794, 1796	895, 897, 899, 901, 903, 905, 1105, 1107, 1109, 1111, 1113, 1115	892, 894, 896, 898, 900, 902, 1102, 1104, 1106, 1108, 1110, 1112
50	−	50:   	−    	1, 3, 5, 7, 9, 11, 211, 213, 215, 217, 219, 221, 1337, 1786, 1788, 1790, 1792, 1794, 1796	895, 897, 899, 901, 903, 905, 1105, 1107, 1109, 1111, 1113, 1115, 1996, 1998, 2000, 2002, 2004, 2006	892, 894, 896, 898, 900, 902, 1102, 1104, 1106, 1108, 1110, 1112
51	−	51:   	−    	1, 3, 5, 7, 9, 11, 211, 213, 215, 217, 219, 221, 1337, 1786, 1788, 1790, 1792, 1794, 1796, 1996, 1998, 2000, 2002, 2004, 2006	895, 897, 899, 901, 903, 905, 1105, 1107, 1109, 1111, 1113, 1115	892, 894, 896, 898, 900, 902, 1102, 1104, 1106, 1108, 1110, 1112
52	−	52:   	−    	1, 3, 5, 7, 9, 11, 211, 213, 215, 217, 219, 221, 1337, 1786, 1788, 1790, 1792, 1794, 1796, 1996, 1998, 2000, 2002, 2004, 2006	895, 897, 899, 901, 903, 905, 1105, 1107, 1109, 1111, 1113, 1115, 2228	892, 894, 896, 898, 900, 902, 1102, 1104, 1106, 1108, 1110, 1112
53	−	53:   	−    	1, 3, 5, 7, 9, 11, 211, 213, 215, 217, 219, 221, 1337, 1786, 1788, 1790, 1792, 1794, 1796, 1996, 1998, 2000, 2002, 2004, 2006	895, 897, 899, 901, 903, 905, 1105, 1107, 1109, 1111, 1113, 1115, 2228, 2680, 2682, 2684, 2686, 2688, 2690	892, 894, 896, 898, 900, 902, 1102, 1104, 1106, 1108, 1110, 1112
54	−	54:   	−    	1, 3, 5, 7, 9, 11, 211, 213, 215, 217, 219, 221, 1337, 1786, 1788, 1790, 1792, 1794, 1796, 1996, 1998, 2000, 2002, 2004, 2006, 2228	895, 897, 899, 901, 903, 905, 1105, 1107, 1109, 1111, 1113, 1115, 2680, 2682, 2684, 2686, 2688, 2690	892, 894, 896, 898, 900, 902, 1102, 1104, 1106, 1108, 1110, 1112
55	−	56:   	−    	1, 3, 5, 7, 9, 11, 211, 213, 215, 217, 219, 221, 1337, 1786, 1788, 1790, 1792, 1794, 1796, 1996, 1998, 2000, 2002, 2004, 2006, 2228, 2680, 2682, 2684, 2686, 2688, 2690	895, 897, 899, 901, 903, 905, 1105, 1107, 1109, 1111, 1113, 1115	892, 894, 896, 898, 900, 902, 1102, 1104, 1106, 1108, 1110, 1112
57	−	57:   	−    	1, 3, 5, 7, 9, 11, 211, 213, 215, 217, 219, 221, 1337, 1786, 1788, 1790, 1792, 1794, 1796, 1996, 1998, 2000, 2002, 2004, 2006, 2228, 2680, 2682, 2684, 2686, 2688, 2690	895, 897, 899, 901, 903, 905, 1105, 1107, 1109, 1111, 1113, 1115, 2890, 2892, 2894, 2896, 2898, 2900	892, 894, 896, 898, 900, 902, 1102, 1104, 1106, 1108, 1110, 1112
