Identifiers (BCID) for paired and unpaired bunches for run 270588:
(Begin/end of run: Sun Jul 05 2015 22:32:29 − Mon Jul 06, 02:49:14)
LB range	    Stable
beams	  Crossing (Paired)	  Unpaired Beam-1 	  Unpaired Beam-2
1	−	47:   	−    	−	−	−
48	−	48:   	−    	−	466	−
49	−	61:   	−    	−	466	476
62	−	63:   	−    	−	466	13, 15, 17, 19, 21, 23, 476
64	−	69:   	−    	−	1, 3, 5, 7, 9, 11, 466	13, 15, 17, 19, 21, 23, 476
70	−	70:   	−    	−	1, 3, 5, 7, 9, 11	13, 15, 17, 19, 21, 23, 476
71	−	75:   	−    	−	1, 3, 5, 7, 9, 11	13, 15, 17, 19, 21, 23
76	−	76:   	−    	−	1, 3, 5, 7, 9, 11	13, 15, 17, 19, 21, 23, 59, 61, 63, 65, 67, 69, 71, 73, 75, 77, 79, 81, 83, 85, 87, 89, 91, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 113, 115, 117, 119, 121, 123, 125, 127, 129
77	−	77:   	−    	59, 61, 63, 65, 67, 69, 71, 73, 75, 77, 79, 81, 83, 85, 87, 89, 91, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 113, 115, 117, 119, 121, 123, 125, 127, 129	1, 3, 5, 7, 9, 11	13, 15, 17, 19, 21, 23
78	−	78:   	−    	59, 61, 63, 65, 67, 69, 71, 73, 75, 77, 79, 81, 83, 85, 87, 89, 91, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 113, 115, 117, 119, 121, 123, 125, 127, 129	1, 3, 5, 7, 9, 11	13, 15, 17, 19, 21, 23, 953, 955, 957, 959, 961, 963, 965, 967, 969, 971, 973, 975, 977, 979, 981, 983, 985, 987, 989, 991, 993, 995, 997, 999, 1001, 1003, 1005, 1007, 1009, 1011, 1013, 1015, 1017, 1019, 1021, 1023
79	−	79:   	−    	59, 61, 63, 65, 67, 69, 71, 73, 75, 77, 79, 81, 83, 85, 87, 89, 91, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 113, 115, 117, 119, 121, 123, 125, 127, 129, 953, 955, 957, 959, 961, 963, 965, 967, 969, 971, 973, 975, 977, 979, 981, 983, 985, 987, 989, 991, 993, 995, 997, 999, 1001, 1003, 1005, 1007, 1009, 1011, 1013, 1015, 1017, 1019, 1021, 1023	1, 3, 5, 7, 9, 11	13, 15, 17, 19, 21, 23
