Identifiers (BCID) for paired and unpaired bunches for run 297447:
(Begin/end of run: Wed Apr 27 2016 00:20:43 − 12:21:12)
LB range	    Stable
beams	  Crossing (Paired)	  Unpaired Beam-1 	  Unpaired Beam-2
1	−	47:   	−    	1	2874	2974
48	−	123:   	−    	−	−	−
124	−	124:   	−    	−	−	2386
125	−	135:   	−    	2386	−	−
136	−	136:   	−    	−	−	−
137	−	277:   	−    	−	2386	−
278	−	293:   	−    	−	−	−
294	−	296:   	−    	2386	−	−
297	−	298:   	−    	−	−	−
299	−	303:   	−    	2386	−	−
304	−	304:   	−    	2386	1	−
305	−	306:   	−    	1, 2386	−	−
307	−	307:   	−    	1, 201, 2386	−	−
308	−	308:   	−    	1, 201, 401, 2386	−	−
309	−	309:   	−    	1, 201, 401, 601, 2386	−	−
310	−	310:   	−    	1, 201, 401, 601, 2386	895	−
311	−	311:   	−    	1, 201, 401, 601, 2386	895, 1095	892
312	−	312:   	−    	1, 201, 401, 601, 2386	895, 1095, 1295	892, 1092
313	−	313:   	−    	1, 201, 401, 601, 2386	895, 1095, 1295, 1495	892, 1092, 1292
314	−	314:   	−    	1, 201, 401, 601, 2386	895, 1095, 1295, 1495, 1786	892, 1092, 1292, 1492
315	−	315:   	−    	1, 201, 401, 601, 1786, 2386	895, 1095, 1295, 1495	892, 1092, 1292, 1492
316	−	316:   	−    	1, 201, 401, 601, 1786, 1986, 2386	895, 1095, 1295, 1495	892, 1092, 1292, 1492
317	−	317:   	−    	1, 201, 401, 601, 1786, 1986, 2186, 2386	895, 1095, 1295, 1495	892, 1092, 1292, 1492
318	−	318:   	−    	1, 201, 401, 601, 1786, 1986, 2186	895, 1095, 1295, 1495	892, 1092, 1292, 1492
319	−	319:   	−    	1, 201, 401, 601, 1786, 1986, 2186	895, 1095, 1295, 1495, 2386	892, 1092, 1292, 1492
320	−	747:   	T    	1, 201, 401, 601, 1786, 1986, 2186, 2386	895, 1095, 1295, 1495	892, 1092, 1292, 1492
748	−	751:   	−    	−	−	−
