Identifiers (BCID) for paired and unpaired bunches for run 297730:
(Begin/end of run: Thu Apr 28 2016 20:52:34 − Fri Apr 29, 05:35:02)
LB range	    Stable
beams	  Crossing (Paired)	  Unpaired Beam-1 	  Unpaired Beam-2
1	−	1:   	−    	1, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 1334, 1335, 1336, 1337, 1338, 1339, 1340, 1341, 1342, 1343, 1344, 1345	−	2228, 2229, 2230, 2231, 2232, 2233, 2234, 2235, 2236, 2237, 2238, 2239
2	−	4:   	−    	1, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 1334, 1335, 1336, 1337, 1338, 1339, 1340, 1341, 1342, 1343, 1344, 1345	−	2228, 2229, 2230, 2231, 2232, 2233, 2234, 2235, 2236, 2237, 2238, 2239, 3119, 3120, 3121, 3122, 3123, 3124, 3125, 3126, 3127, 3128, 3129, 3130
5	−	5:   	−    	1, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 1334, 1335, 1336, 1337, 1338, 1339, 1340, 1341, 1342, 1343, 1344, 1345, 2228, 2229, 2230, 2231, 2232, 2233, 2234, 2235, 2236, 2237, 2238, 2239	−	3119, 3120, 3121, 3122, 3123, 3124, 3125, 3126, 3127, 3128, 3129, 3130
6	−	7:   	−    	1, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 1334, 1335, 1336, 1337, 1338, 1339, 1340, 1341, 1342, 1343, 1344, 1345, 2228, 2229, 2230, 2231, 2232, 2233, 2234, 2235, 2236, 2237, 2238, 2239, 3119, 3120, 3121, 3122, 3123, 3124, 3125, 3126, 3127, 3128, 3129, 3130	−	−
8	−	13:   	−    	−	−	−
14	−	16:   	−    	514	−	−
17	−	20:   	−    	1, 514	−	−
21	−	21:   	−    	1, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 514	−	−
22	−	22:   	−    	1, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451	1334, 1335, 1336, 1337, 1338, 1339, 1340, 1341, 1342, 1343, 1344, 1345	−
23	−	23:   	−    	1, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 1334, 1335, 1336, 1337, 1338, 1339, 1340, 1341, 1342, 1343, 1344, 1345	2228, 2229, 2230, 2231, 2232, 2233, 2234, 2235, 2236, 2237, 2238, 2239	−
24	−	24:   	−    	1, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 1334, 1335, 1336, 1337, 1338, 1339, 1340, 1341, 1342, 1343, 1344, 1345, 2228, 2229, 2230, 2231, 2232, 2233, 2234, 2235, 2236, 2237, 2238, 2239	−	−
25	−	532:   	T    	1, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 1334, 1335, 1336, 1337, 1338, 1339, 1340, 1341, 1342, 1343, 1344, 1345, 2228, 2229, 2230, 2231, 2232, 2233, 2234, 2235, 2236, 2237, 2238, 2239, 3119, 3120, 3121, 3122, 3123, 3124, 3125, 3126, 3127, 3128, 3129, 3130	−	−
533	−	534:   	−    	−	−	−
