Identifiers (BCID) for paired and unpaired bunches for run 299315:
(Begin/end of run: Tue May 17 2016 10:04:50 − 23:28:16)
LB range	    Stable
beams	  Crossing (Paired)	  Unpaired Beam-1 	  Unpaired Beam-2
1	−	9:   	−    	−	514	954
10	−	13:   	−    	−	514	1, 41, 81, 954
14	−	27:   	−    	1, 41, 81	514	954
28	−	36:   	−    	1, 41, 81	−	954
37	−	37:   	−    	1, 41, 81	222, 262, 302, 342	954
38	−	45:   	−    	1, 41, 81	222, 262, 302, 342	121, 161, 201, 241, 954
46	−	111:   	−    	1, 41, 81	222, 262, 302, 342, 382, 422, 462, 502	121, 161, 201, 241, 954
112	−	116:   	−    	1, 41, 81	222, 262, 302, 342, 382, 422, 462, 502, 875, 915, 955, 995	121, 161, 201, 241, 281, 321, 361, 401, 954
117	−	117:   	−    	1, 41, 81	222, 262, 302, 342, 382, 422, 462, 502, 875, 915, 955, 995, 1112, 1152, 1192, 1232	121, 161, 201, 241, 281, 321, 361, 401, 954
118	−	129:   	−    	1, 41, 81	222, 262, 302, 342, 382, 422, 462, 502, 875, 915, 955, 995, 1112, 1152, 1192, 1232	121, 161, 201, 241, 281, 321, 361, 401, 441, 481, 521, 561, 954
130	−	136:   	−    	−	−	−
137	−	137:   	−    	−	−	954
138	−	142:   	−    	−	514	954
143	−	143:   	−    	−	1, 41, 81, 514	954
144	−	146:   	−    	1, 41, 81	514	954
147	−	147:   	−    	1, 41, 81	222, 262, 302, 342, 514	954
148	−	150:   	−    	1, 41, 81	222, 262, 302, 342	954
151	−	152:   	−    	1, 41, 81	222, 262, 302, 342, 382, 422, 462, 502	121, 161, 201, 241, 954
153	−	153:   	−    	1, 41, 81	222, 262, 302, 342, 382, 422, 462, 502, 875, 915, 955, 995	121, 161, 201, 241, 281, 321, 361, 401, 954
154	−	154:   	−    	1, 41, 81	222, 262, 302, 342, 382, 422, 462, 502, 875, 915, 955, 995, 1112, 1152, 1192, 1232	121, 161, 201, 241, 281, 321, 361, 401, 954
155	−	155:   	−    	1, 41, 81	222, 262, 302, 342, 382, 422, 462, 502, 875, 915, 955, 995, 1112, 1152, 1192, 1232, 1272, 1312, 1352, 1392	121, 161, 201, 241, 281, 321, 361, 401, 441, 481, 521, 561, 954
156	−	156:   	−    	1, 41, 81, 875, 915, 955, 995	222, 262, 302, 342, 382, 422, 462, 502, 1112, 1152, 1192, 1232, 1272, 1312, 1352, 1392	121, 161, 201, 241, 281, 321, 361, 401, 441, 481, 521, 561, 954
157	−	157:   	−    	1, 41, 81, 875, 915, 955, 995	222, 262, 302, 342, 382, 422, 462, 502, 1112, 1152, 1192, 1232, 1272, 1312, 1352, 1392, 1432, 1472, 1512, 1552	121, 161, 201, 241, 281, 321, 361, 401, 441, 481, 521, 561, 1450, 1490, 1530, 1570
158	−	158:   	−    	1, 41, 81, 875, 915, 955, 995	222, 262, 302, 342, 382, 422, 462, 502, 1112, 1152, 1192, 1232, 1272, 1312, 1352, 1392, 1432, 1472, 1512, 1552, 1610, 1650, 1690, 1730	121, 161, 201, 241, 281, 321, 361, 401, 441, 481, 521, 561, 1450, 1490, 1530, 1570
159	−	160:   	−    	1, 41, 81, 875, 915, 955, 995, 1610, 1650, 1690, 1730	222, 262, 302, 342, 382, 422, 462, 502, 1112, 1152, 1192, 1232, 1272, 1312, 1352, 1392, 1432, 1472, 1512, 1552, 1800, 1840, 1880, 1920	121, 161, 201, 241, 281, 321, 361, 401, 441, 481, 521, 561, 1450, 1490, 1530, 1570
161	−	161:   	−    	1, 41, 81, 875, 915, 955, 995, 1610, 1650, 1690, 1730	222, 262, 302, 342, 382, 422, 462, 502, 1112, 1152, 1192, 1232, 1272, 1312, 1352, 1392, 1432, 1472, 1512, 1552, 1800, 1840, 1880, 1920, 2344, 2384, 2424, 2464	121, 161, 201, 241, 281, 321, 361, 401, 441, 481, 521, 561, 1450, 1490, 1530, 1570
162	−	165:   	−    	1, 41, 81, 875, 915, 955, 995, 1610, 1650, 1690, 1730	222, 262, 302, 342, 382, 422, 462, 502, 1112, 1152, 1192, 1232, 1272, 1312, 1352, 1392, 1432, 1472, 1512, 1552, 1800, 1840, 1880, 1920, 2344, 2384, 2424, 2464	121, 161, 201, 241, 281, 321, 361, 401, 441, 481, 521, 561, 1450, 1490, 1530, 1570, 2003, 2043, 2083, 2123
166	−	166:   	−    	1, 41, 81, 875, 915, 955, 995, 1610, 1650, 1690, 1730	222, 262, 302, 342, 382, 422, 462, 502, 1112, 1152, 1192, 1232, 1272, 1312, 1352, 1392, 1432, 1472, 1512, 1552, 1800, 1840, 1880, 1920, 2344, 2384, 2424, 2464, 2504, 2544, 2584, 2624	121, 161, 201, 241, 281, 321, 361, 401, 441, 481, 521, 561, 1450, 1490, 1530, 1570, 2003, 2043, 2083, 2123
167	−	169:   	−    	1, 41, 81, 875, 915, 955, 995, 1610, 1650, 1690, 1730	222, 262, 302, 342, 382, 422, 462, 502, 1112, 1152, 1192, 1232, 1272, 1312, 1352, 1392, 1432, 1472, 1512, 1552, 1800, 1840, 1880, 1920, 2344, 2384, 2424, 2464, 2504, 2544, 2584, 2624	121, 161, 201, 241, 281, 321, 361, 401, 441, 481, 521, 561, 1450, 1490, 1530, 1570, 2003, 2043, 2083, 2123, 2163, 2203, 2243, 2283
170	−	171:   	−    	1, 41, 81, 875, 915, 955, 995, 1610, 1650, 1690, 1730	222, 262, 302, 342, 382, 422, 462, 502, 1112, 1152, 1192, 1232, 1272, 1312, 1352, 1392, 1432, 1472, 1512, 1552, 1800, 1840, 1880, 1920, 2344, 2384, 2424, 2464, 2504, 2544, 2584, 2624, 2794, 2834, 2874, 2914	121, 161, 201, 241, 281, 321, 361, 401, 441, 481, 521, 561, 1450, 1490, 1530, 1570, 2003, 2043, 2083, 2123, 2163, 2203, 2243, 2283
172	−	172:   	−    	1, 41, 81, 875, 915, 955, 995, 1610, 1650, 1690, 1730	222, 262, 302, 342, 382, 422, 462, 502, 1112, 1152, 1192, 1232, 1272, 1312, 1352, 1392, 1432, 1472, 1512, 1552, 1800, 1840, 1880, 1920, 2344, 2384, 2424, 2464, 2504, 2544, 2584, 2624, 2794, 2834, 2874, 2914	121, 161, 201, 241, 281, 321, 361, 401, 441, 481, 521, 561, 1450, 1490, 1530, 1570, 2003, 2043, 2083, 2123, 2163, 2203, 2243, 2283, 2323, 2363, 2403, 2443
173	−	174:   	−    	1, 41, 81, 875, 915, 955, 995, 1610, 1650, 1690, 1730	222, 262, 302, 342, 382, 422, 462, 502, 1112, 1152, 1192, 1232, 1272, 1312, 1352, 1392, 1432, 1472, 1512, 1552, 1800, 1840, 1880, 1920, 2344, 2384, 2424, 2464, 2504, 2544, 2584, 2624, 2794, 2834, 2874, 2914, 2954, 2994, 3034, 3074	121, 161, 201, 241, 281, 321, 361, 401, 441, 481, 521, 561, 1450, 1490, 1530, 1570, 2003, 2043, 2083, 2123, 2163, 2203, 2243, 2283, 2323, 2363, 2403, 2443, 2691, 2731, 2771, 2811
175	−	176:   	−    	1, 41, 81, 875, 915, 955, 995, 1610, 1650, 1690, 1730	222, 262, 302, 342, 382, 422, 462, 502, 1112, 1152, 1192, 1232, 1272, 1312, 1352, 1392, 1432, 1472, 1512, 1552, 1800, 1840, 1880, 1920, 2344, 2384, 2424, 2464, 2504, 2544, 2584, 2624, 2794, 2834, 2874, 2914, 2954, 2994, 3034, 3074, 3114, 3154, 3194, 3234	121, 161, 201, 241, 281, 321, 361, 401, 441, 481, 521, 561, 1450, 1490, 1530, 1570, 2003, 2043, 2083, 2123, 2163, 2203, 2243, 2283, 2323, 2363, 2403, 2443, 2691, 2731, 2771, 2811, 2892, 2932, 2972, 3012
177	−	839:   	T    	1, 41, 81, 875, 915, 955, 995, 1610, 1650, 1690, 1730	222, 262, 302, 342, 382, 422, 462, 502, 1112, 1152, 1192, 1232, 1272, 1312, 1352, 1392, 1432, 1472, 1512, 1552, 1800, 1840, 1880, 1920, 2344, 2384, 2424, 2464, 2504, 2544, 2584, 2624, 2794, 2834, 2874, 2914, 2954, 2994, 3034, 3074, 3114, 3154, 3194, 3234	121, 161, 201, 241, 281, 321, 361, 401, 441, 481, 521, 561, 1450, 1490, 1530, 1570, 2003, 2043, 2083, 2123, 2163, 2203, 2243, 2283, 2323, 2363, 2403, 2443, 2691, 2731, 2771, 2811, 2892, 2932, 2972, 3012, 3052, 3092, 3132, 3172
840	−	843:   	T    	−	−	−
844	−	844:   	−    	−	−	1059
