Identifiers (BCID) for paired and unpaired bunches for run 308979:
(Begin/end of run: Mon Sep 19 2016 17:16:39 − Tue Sep 20, 06:32:34)
LB range	    Stable
beams	  Crossing (Paired)	  Unpaired Beam-1 	  Unpaired Beam-2
1	−	14:   	−    	−	−	−
15	−	15:   	−    	−	2876	−
16	−	31:   	−    	−	2876	3119
32	−	32:   	−    	−	2876	−
33	−	37:   	−    	−	2876	3119
38	−	40:   	−    	−	41, 2876	3119
41	−	41:   	−    	−	41, 2876	1, 3119
42	−	43:   	−    	−	41, 714, 2876	1, 3119
44	−	47:   	−    	714	41, 2876	1, 3119
48	−	48:   	−    	714	41, 2876	1, 1247, 3119
49	−	51:   	−    	714, 1247	41, 2876	1, 3119
52	−	52:   	−    	714, 1247	41, 2876	1, 1875, 3119
53	−	53:   	−    	714, 1247, 1875	41, 2876	1, 3119
54	−	54:   	−    	714, 1247, 1875	41, 2430, 2876	1, 3119
55	−	55:   	−    	714, 1247, 1875, 2430	41, 2876	1, 3119
56	−	62:   	−    	−	41, 714, 1247, 1875, 2430, 2876	−
63	−	64:   	−    	−	41, 714, 1247, 1875, 2430, 2876	3119
65	−	65:   	−    	−	41, 714, 1247, 1875, 2430, 2876	1, 3119
66	−	66:   	−    	714, 1247	41, 1875, 2430, 2876	1, 3119
67	−	67:   	−    	714, 1247, 1875	41, 2430, 2876	1, 3119
68	−	814:   	T    	714, 1247, 1875, 2430	41, 2876	1, 3119
