Identifiers (BCID) for paired and unpaired bunches for run 324832:
(Begin/end of run: Sat May 27 2017 18:28:06 − 23:02:32)
LB range	    Stable
beams	  Crossing (Paired)	  Unpaired Beam-1 	  Unpaired Beam-2
1	−	1:   	−    	−	558	735
2	−	2:   	−    	−	21, 558	735
3	−	3:   	−    	21	558	735
4	−	4:   	−    	21	558	61, 735
5	−	5:   	−    	21, 61	101, 558	735
6	−	7:   	−    	21, 61, 101	558	735
8	−	9:   	−    	21, 61, 101	−	735
10	−	15:   	−    	21, 61, 101	−	735, 736, 737, 738, 739, 740, 741, 742, 743, 744, 745, 746
16	−	21:   	−    	−	−	−
22	−	22:   	−    	−	−	735
23	−	23:   	−    	−	558	735
24	−	24:   	−    	21	558	735
25	−	25:   	−    	21	61, 558	735
26	−	26:   	−    	21, 61	101, 558	735
27	−	30:   	−    	21, 61, 101	558	735
31	−	32:   	−    	21, 61, 101	−	735, 736, 737, 738, 739, 740, 741, 742, 743, 744, 745, 746
33	−	33:   	−    	21, 61, 101	−	735, 736, 737, 738, 739, 740, 741, 742, 743, 744, 745, 746, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178, 1179, 1180, 1181
34	−	34:   	−    	21, 61, 101	288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299	735, 736, 737, 738, 739, 740, 741, 742, 743, 744, 745, 746, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178, 1179, 1180, 1181
35	−	35:   	−    	21, 61, 101, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178, 1179, 1180, 1181	288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299	735, 736, 737, 738, 739, 740, 741, 742, 743, 744, 745, 746, 1629, 1630, 1631, 1632, 1633, 1634, 1635, 1636, 1637, 1638, 1639, 1640
36	−	36:   	−    	21, 61, 101, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178, 1179, 1180, 1181	288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299	735, 736, 737, 738, 739, 740, 741, 742, 743, 744, 745, 746, 1629, 1630, 1631, 1632, 1633, 1634, 1635, 1636, 1637, 1638, 1639, 1640, 2064, 2065, 2066, 2067, 2068, 2069, 2070, 2071, 2072, 2073, 2074, 2075
37	−	37:   	−    	21, 61, 101, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178, 1179, 1180, 1181, 1629, 1630, 1631, 1632, 1633, 1634, 1635, 1636, 1637, 1638, 1639, 1640	288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299	735, 736, 737, 738, 739, 740, 741, 742, 743, 744, 745, 746, 2064, 2065, 2066, 2067, 2068, 2069, 2070, 2071, 2072, 2073, 2074, 2075, 2523, 2524, 2525, 2526, 2527, 2528, 2529, 2530, 2531, 2532, 2533, 2534
38	−	38:   	−    	21, 61, 101, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178, 1179, 1180, 1181, 1629, 1630, 1631, 1632, 1633, 1634, 1635, 1636, 1637, 1638, 1639, 1640, 2064, 2065, 2066, 2067, 2068, 2069, 2070, 2071, 2072, 2073, 2074, 2075	288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299	735, 736, 737, 738, 739, 740, 741, 742, 743, 744, 745, 746, 2523, 2524, 2525, 2526, 2527, 2528, 2529, 2530, 2531, 2532, 2533, 2534
39	−	39:   	−    	21, 61, 101, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178, 1179, 1180, 1181, 1629, 1630, 1631, 1632, 1633, 1634, 1635, 1636, 1637, 1638, 1639, 1640, 2064, 2065, 2066, 2067, 2068, 2069, 2070, 2071, 2072, 2073, 2074, 2075, 2523, 2524, 2525, 2526, 2527, 2528, 2529, 2530, 2531, 2532, 2533, 2534	288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 2958, 2959, 2960, 2961, 2962, 2963, 2964, 2965, 2966, 2967, 2968, 2969	735, 736, 737, 738, 739, 740, 741, 742, 743, 744, 745, 746
40	−	292:   	T    	21, 61, 101, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178, 1179, 1180, 1181, 1629, 1630, 1631, 1632, 1633, 1634, 1635, 1636, 1637, 1638, 1639, 1640, 2064, 2065, 2066, 2067, 2068, 2069, 2070, 2071, 2072, 2073, 2074, 2075, 2523, 2524, 2525, 2526, 2527, 2528, 2529, 2530, 2531, 2532, 2533, 2534, 2958, 2959, 2960, 2961, 2962, 2963, 2964, 2965, 2966, 2967, 2968, 2969	288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299	735, 736, 737, 738, 739, 740, 741, 742, 743, 744, 745, 746
