Identifiers (BCID) for paired and unpaired bunches for run 330874:
(Begin/end of run: Fri Jul 28 2017 02:00:01 − 04:40:17)
LB range	    Stable
beams	  Crossing (Paired)	  Unpaired Beam-1 	  Unpaired Beam-2
1	−	21:   	−    	−	−	−
22	−	33:   	−    	307	−	−
34	−	34:   	−    	307	1, 41, 81, 121	−
35	−	35:   	−    	1, 41, 81, 121, 307	161, 201, 241, 281	−
36	−	36:   	−    	1, 41, 81, 121, 161, 201, 241, 281	−	307
37	−	37:   	−    	1, 41, 81, 121, 161, 201, 241, 281	712, 752, 792, 832	370, 410, 450, 490
38	−	38:   	−    	1, 41, 81, 121, 161, 201, 241, 281	712, 752, 792, 832, 872, 912, 952, 992	370, 410, 450, 490
39	−	39:   	−    	1, 41, 81, 121, 161, 201, 241, 281	712, 752, 792, 832, 872, 912, 952, 992, 1032, 1072, 1112, 1152	370, 410, 450, 490, 530, 570, 610, 650
40	−	40:   	−    	1, 41, 81, 121, 161, 201, 241, 281, 872, 912, 952, 992	712, 752, 792, 832, 1032, 1072, 1112, 1152	370, 410, 450, 490, 530, 570, 610, 650
41	−	41:   	−    	1, 41, 81, 121, 161, 201, 241, 281, 872, 912, 952, 992, 1032, 1072, 1112, 1152	712, 752, 792, 832, 1264, 1304, 1344, 1384	370, 410, 450, 490, 530, 570, 610, 650
42	−	43:   	−    	1, 41, 81, 121, 161, 201, 241, 281, 872, 912, 952, 992, 1032, 1072, 1112, 1152	712, 752, 792, 832, 1264, 1304, 1344, 1384, 1424, 1464, 1504, 1544	370, 410, 450, 490, 530, 570, 610, 650
44	−	44:   	−    	1, 41, 81, 121, 161, 201, 241, 281, 872, 912, 952, 992, 1032, 1072, 1112, 1152	712, 752, 792, 832, 1264, 1304, 1344, 1384, 1424, 1464, 1504, 1544, 1783, 1823, 1863, 1903	370, 410, 450, 490, 530, 570, 610, 650, 1603, 1643, 1683, 1723
45	−	45:   	−    	1, 41, 81, 121, 161, 201, 241, 281, 872, 912, 952, 992, 1032, 1072, 1112, 1152	712, 752, 792, 832, 1264, 1304, 1344, 1384, 1424, 1464, 1504, 1544, 1783, 1823, 1863, 1903, 1943, 1983, 2023, 2063	370, 410, 450, 490, 530, 570, 610, 650, 1603, 1643, 1683, 1723
46	−	46:   	−    	1, 41, 81, 121, 161, 201, 241, 281, 872, 912, 952, 992, 1032, 1072, 1112, 1152, 1783, 1823, 1863, 1903	712, 752, 792, 832, 1264, 1304, 1344, 1384, 1424, 1464, 1504, 1544, 1943, 1983, 2023, 2063, 2169, 2209, 2249, 2289	370, 410, 450, 490, 530, 570, 610, 650, 1603, 1643, 1683, 1723
47	−	47:   	−    	1, 41, 81, 121, 161, 201, 241, 281, 872, 912, 952, 992, 1032, 1072, 1112, 1152, 1783, 1823, 1863, 1903, 1943, 1983, 2023, 2063	712, 752, 792, 832, 1264, 1304, 1344, 1384, 1424, 1464, 1504, 1544, 2169, 2209, 2249, 2289	370, 410, 450, 490, 530, 570, 610, 650, 1603, 1643, 1683, 1723
48	−	48:   	−    	1, 41, 81, 121, 161, 201, 241, 281, 872, 912, 952, 992, 1032, 1072, 1112, 1152, 1783, 1823, 1863, 1903, 1943, 1983, 2023, 2063	712, 752, 792, 832, 1264, 1304, 1344, 1384, 1424, 1464, 1504, 1544, 2169, 2209, 2249, 2289, 2329, 2369, 2409, 2449	370, 410, 450, 490, 530, 570, 610, 650, 1603, 1643, 1683, 1723, 2654, 2694, 2734, 2774
49	−	49:   	−    	1, 41, 81, 121, 161, 201, 241, 281, 872, 912, 952, 992, 1032, 1072, 1112, 1152, 1783, 1823, 1863, 1903, 1943, 1983, 2023, 2063, 2654, 2694, 2734, 2774	712, 752, 792, 832, 1264, 1304, 1344, 1384, 1424, 1464, 1504, 1544, 2169, 2209, 2249, 2289, 2329, 2369, 2409, 2449	370, 410, 450, 490, 530, 570, 610, 650, 1603, 1643, 1683, 1723
50	−	50:   	−    	1, 41, 81, 121, 161, 201, 241, 281, 872, 912, 952, 992, 1032, 1072, 1112, 1152, 1783, 1823, 1863, 1903, 1943, 1983, 2023, 2063, 2654, 2694, 2734, 2774	712, 752, 792, 832, 1264, 1304, 1344, 1384, 1424, 1464, 1504, 1544, 2169, 2209, 2249, 2289, 2329, 2369, 2409, 2449, 2814, 2854, 2894, 2934	370, 410, 450, 490, 530, 570, 610, 650, 1603, 1643, 1683, 1723
51	−	51:   	−    	1, 41, 81, 121, 161, 201, 241, 281, 872, 912, 952, 992, 1032, 1072, 1112, 1152, 1783, 1823, 1863, 1903, 1943, 1983, 2023, 2063, 2654, 2694, 2734, 2774, 2814, 2854, 2894, 2934	712, 752, 792, 832, 1264, 1304, 1344, 1384, 1424, 1464, 1504, 1544, 2169, 2209, 2249, 2289, 2329, 2369, 2409, 2449	370, 410, 450, 490, 530, 570, 610, 650, 1603, 1643, 1683, 1723
52	−	99:   	T    	1, 41, 81, 121, 161, 201, 241, 281, 872, 912, 952, 992, 1032, 1072, 1112, 1152, 1783, 1823, 1863, 1903, 1943, 1983, 2023, 2063, 2654, 2694, 2734, 2774, 2814, 2854, 2894, 2934	712, 752, 792, 832, 1264, 1304, 1344, 1384, 1424, 1464, 1504, 1544, 2169, 2209, 2249, 2289, 2329, 2369, 2409, 2449	370, 410, 450, 490, 530, 570, 610, 650, 1603, 1643, 1683, 1723, 3060, 3100, 3140, 3180, 3220, 3260, 3300, 3340
100	−	167:   	T    	−	−	−
