Identifiers (BCID) for paired and unpaired bunches for run 335302:
(Begin/end of run: Wed Sep 13 2017 06:53:43 − 15:27:34)
LB range	    Stable
beams	  Crossing (Paired)	  Unpaired Beam-1 	  Unpaired Beam-2
1	−	34:   	−    	−	−	−
35	−	50:   	−    	781	−	−
51	−	51:   	−    	781	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15	−
52	−	59:   	−    	781	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15	16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27
60	−	60:   	−    	91, 781	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15	16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27
61	−	61:   	−    	91, 781	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15	16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 782, 783, 784, 785, 786, 787, 788, 793, 794, 795, 796, 797, 798, 799, 800, 805, 806, 807, 808, 809, 810, 811, 812, 817, 818, 819, 820, 821, 822, 823, 824, 829, 830, 831, 832, 833, 834, 835, 836, 841, 842, 843, 844, 845, 846, 847, 848, 853, 854, 855, 856, 857, 858, 859, 860
62	−	64:   	−    	91, 781, 782, 783, 784, 785, 786, 787, 788, 793, 794, 795, 796, 797, 798, 799, 800, 805, 806, 807, 808, 809, 810, 811, 812, 817, 818, 819, 820, 821, 822, 823, 824, 829, 830, 831, 832, 833, 834, 835, 836, 841, 842, 843, 844, 845, 846, 847, 848, 853, 854, 855, 856, 857, 858, 859, 860	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15	16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27
65	−	66:   	−    	91, 781, 782, 783, 784, 785, 786, 787, 788, 793, 794, 795, 796, 797, 798, 799, 800, 805, 806, 807, 808, 809, 810, 811, 812, 817, 818, 819, 820, 821, 822, 823, 824, 829, 830, 831, 832, 833, 834, 835, 836, 841, 842, 843, 844, 845, 846, 847, 848, 853, 854, 855, 856, 857, 858, 859, 860	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 1075	16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27
67	−	67:   	−    	91, 781, 782, 783, 784, 785, 786, 787, 788, 793, 794, 795, 796, 797, 798, 799, 800, 805, 806, 807, 808, 809, 810, 811, 812, 817, 818, 819, 820, 821, 822, 823, 824, 829, 830, 831, 832, 833, 834, 835, 836, 841, 842, 843, 844, 845, 846, 847, 848, 853, 854, 855, 856, 857, 858, 859, 860	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 1075, 1300	16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27
68	−	68:   	−    	91, 781, 782, 783, 784, 785, 786, 787, 788, 793, 794, 795, 796, 797, 798, 799, 800, 805, 806, 807, 808, 809, 810, 811, 812, 817, 818, 819, 820, 821, 822, 823, 824, 829, 830, 831, 832, 833, 834, 835, 836, 841, 842, 843, 844, 845, 846, 847, 848, 853, 854, 855, 856, 857, 858, 859, 860, 1075	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 1300	16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27
69	−	70:   	−    	91, 781, 782, 783, 784, 785, 786, 787, 788, 793, 794, 795, 796, 797, 798, 799, 800, 805, 806, 807, 808, 809, 810, 811, 812, 817, 818, 819, 820, 821, 822, 823, 824, 829, 830, 831, 832, 833, 834, 835, 836, 841, 842, 843, 844, 845, 846, 847, 848, 853, 854, 855, 856, 857, 858, 859, 860, 1075	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 1300, 1412, 1413, 1414, 1415, 1416, 1417, 1418, 1419, 1424, 1425, 1426, 1427, 1428, 1429, 1430, 1431, 1436, 1437, 1438, 1439, 1440, 1441, 1442, 1443, 1448, 1449, 1450, 1451, 1452, 1453, 1454, 1455, 1460, 1461, 1462, 1463, 1464, 1465, 1466, 1467, 1472, 1473, 1474, 1475, 1476, 1477, 1478, 1479, 1484, 1485, 1486, 1487, 1488, 1489, 1490, 1491	16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27
