Identifiers (BCID) for paired and unpaired bunches for run 339197:
(Begin/end of run: Thu Oct 26 2017 18:31:46 − Fri Oct 27, 04:49:41)
LB range	    Stable
beams	  Crossing (Paired)	  Unpaired Beam-1 	  Unpaired Beam-2
1	−	120:   	−    	−	−	−
121	−	121:   	−    	−	−	344
122	−	134:   	−    	344	−	−
135	−	136:   	−    	344	−	1, 22, 43, 64, 85, 106, 127, 148
137	−	137:   	−    	344	−	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333
138	−	138:   	−    	−	344	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333
139	−	139:   	−    	−	344	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333, 365, 386, 407, 428, 449, 470, 491, 512
140	−	140:   	−    	1, 22, 43, 64, 85, 106, 127, 148	344	186, 207, 228, 249, 270, 291, 312, 333, 365, 386, 407, 428, 449, 470, 491, 512
141	−	141:   	−    	1, 22, 43, 64, 85, 106, 127, 148	344	186, 207, 228, 249, 270, 291, 312, 333, 365, 386, 407, 428, 449, 470, 491, 512, 544, 565, 586, 607, 628, 649, 670, 691
142	−	142:   	−    	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333	−	365, 386, 407, 428, 449, 470, 491, 512, 544, 565, 586, 607, 628, 649, 670, 691, 797, 818, 839, 860
143	−	144:   	−    	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333, 365, 386, 407, 428, 449, 470, 491, 512	−	544, 565, 586, 607, 628, 649, 670, 691, 797, 818, 839, 860
145	−	145:   	−    	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333, 365, 386, 407, 428, 449, 470, 491, 512, 544, 565, 586, 607, 628, 649, 670, 691	−	797, 818, 839, 860
146	−	146:   	−    	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333, 365, 386, 407, 428, 449, 470, 491, 512, 544, 565, 586, 607, 628, 649, 670, 691	−	797, 818, 839, 860, 895, 916, 937, 958, 979, 1000, 1021, 1042
147	−	147:   	−    	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333, 365, 386, 407, 428, 449, 470, 491, 512, 544, 565, 586, 607, 628, 649, 670, 691, 797, 818, 839, 860	−	895, 916, 937, 958, 979, 1000, 1021, 1042
148	−	148:   	−    	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333, 365, 386, 407, 428, 449, 470, 491, 512, 544, 565, 586, 607, 628, 649, 670, 691, 797, 818, 839, 860	−	895, 916, 937, 958, 979, 1000, 1021, 1042, 1077, 1098, 1119, 1140, 1161, 1182, 1203, 1224
149	−	149:   	−    	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333, 365, 386, 407, 428, 449, 470, 491, 512, 544, 565, 586, 607, 628, 649, 670, 691, 797, 818, 839, 860, 895, 916, 937, 958, 979, 1000, 1021, 1042	−	1077, 1098, 1119, 1140, 1161, 1182, 1203, 1224
150	−	150:   	−    	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333, 365, 386, 407, 428, 449, 470, 491, 512, 544, 565, 586, 607, 628, 649, 670, 691, 797, 818, 839, 860, 895, 916, 937, 958, 979, 1000, 1021, 1042	−	1077, 1098, 1119, 1140, 1161, 1182, 1203, 1224, 1256, 1277, 1298, 1319, 1340, 1361, 1382, 1403
151	−	151:   	−    	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333, 365, 386, 407, 428, 449, 470, 491, 512, 544, 565, 586, 607, 628, 649, 670, 691, 797, 818, 839, 860, 895, 916, 937, 958, 979, 1000, 1021, 1042, 1077, 1098, 1119, 1140, 1161, 1182, 1203, 1224	−	1256, 1277, 1298, 1319, 1340, 1361, 1382, 1403
152	−	152:   	−    	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333, 365, 386, 407, 428, 449, 470, 491, 512, 544, 565, 586, 607, 628, 649, 670, 691, 797, 818, 839, 860, 895, 916, 937, 958, 979, 1000, 1021, 1042, 1077, 1098, 1119, 1140, 1161, 1182, 1203, 1224	−	1256, 1277, 1298, 1319, 1340, 1361, 1382, 1403, 1435, 1456, 1477, 1498, 1519, 1540, 1561, 1582
153	−	154:   	−    	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333, 365, 386, 407, 428, 449, 470, 491, 512, 544, 565, 586, 607, 628, 649, 670, 691, 797, 818, 839, 860, 895, 916, 937, 958, 979, 1000, 1021, 1042, 1077, 1098, 1119, 1140, 1161, 1182, 1203, 1224, 1256, 1277, 1298, 1319, 1340, 1361, 1382, 1403	−	1435, 1456, 1477, 1498, 1519, 1540, 1561, 1582, 1691, 1712, 1733, 1754
155	−	155:   	−    	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333, 365, 386, 407, 428, 449, 470, 491, 512, 544, 565, 586, 607, 628, 649, 670, 691, 797, 818, 839, 860, 895, 916, 937, 958, 979, 1000, 1021, 1042, 1077, 1098, 1119, 1140, 1161, 1182, 1203, 1224, 1256, 1277, 1298, 1319, 1340, 1361, 1382, 1403	−	1435, 1456, 1477, 1498, 1519, 1540, 1561, 1582, 1691, 1712, 1733, 1754, 1789, 1810, 1831, 1852, 1873, 1894, 1915, 1936
156	−	157:   	−    	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333, 365, 386, 407, 428, 449, 470, 491, 512, 544, 565, 586, 607, 628, 649, 670, 691, 797, 818, 839, 860, 895, 916, 937, 958, 979, 1000, 1021, 1042, 1077, 1098, 1119, 1140, 1161, 1182, 1203, 1224, 1256, 1277, 1298, 1319, 1340, 1361, 1382, 1403, 1435, 1456, 1477, 1498, 1519, 1540, 1561, 1582	−	1691, 1712, 1733, 1754, 1789, 1810, 1831, 1852, 1873, 1894, 1915, 1936
158	−	158:   	−    	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333, 365, 386, 407, 428, 449, 470, 491, 512, 544, 565, 586, 607, 628, 649, 670, 691, 797, 818, 839, 860, 895, 916, 937, 958, 979, 1000, 1021, 1042, 1077, 1098, 1119, 1140, 1161, 1182, 1203, 1224, 1256, 1277, 1298, 1319, 1340, 1361, 1382, 1403, 1435, 1456, 1477, 1498, 1519, 1540, 1561, 1582, 1691, 1712, 1733, 1754	−	1789, 1810, 1831, 1852, 1873, 1894, 1915, 1936
159	−	159:   	−    	1, 22, 43, 64, 85, 106, 127, 148, 186, 207, 228, 249, 270, 291, 312, 333, 365, 386, 407, 428, 449, 470, 491, 512, 544, 565, 586, 607, 628, 649, 670, 691, 797, 818, 839, 860, 895, 916, 937, 958, 979, 1000, 1021, 1042, 1077, 1098, 1119, 1140, 1161, 1182, 1203, 1224, 1256, 1277, 1298, 1319, 1340, 1361, 1382, 1403, 1435, 1456, 1477, 1498, 1519, 1540, 1561, 1582, 1691, 1712, 1733, 1754	−	1789, 1810, 1831, 1852, 1873, 1894, 1915, 1936, 1968, 1989, 2010, 2031, 2052, 2073, 2094, 2115
