Identifiers (BCID) for paired and unpaired bunches for run 348609:
(Begin/end of run: Sun Apr 22 2018 06:51:14 − 13:42:26)
LB range	    Stable
beams	  Crossing (Paired)	  Unpaired Beam-1 	  Unpaired Beam-2
1	−	72:   	−    	−	−	−
73	−	73:   	−    	−	760	−
74	−	80:   	−    	760	−	−
81	−	81:   	−    	760	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
82	−	82:   	−    	760	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
83	−	83:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 760	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
84	−	84:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 760	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
85	−	85:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 760	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
86	−	86:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 760	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
87	−	87:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 760	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
88	−	88:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 760	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
89	−	89:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 760	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 602	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
90	−	90:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 602	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 760
91	−	91:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 602, 899, 900, 901, 902, 903, 904, 905, 906, 907, 908, 909, 910	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
92	−	92:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 602, 899, 900, 901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955, 956, 957	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
93	−	93:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 602, 899, 900, 901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955, 956, 957	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 993, 994, 995, 996, 997, 998, 999, 1000, 1001, 1002, 1003, 1004	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
94	−	94:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 602, 899, 900, 901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955, 956, 957, 993, 994, 995, 996, 997, 998, 999, 1000, 1001, 1002, 1003, 1004	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 1040, 1041, 1042, 1043, 1044, 1045, 1046, 1047, 1048, 1049, 1050, 1051	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
95	−	95:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 602, 899, 900, 901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955, 956, 957, 993, 994, 995, 996, 997, 998, 999, 1000, 1001, 1002, 1003, 1004, 1040, 1041, 1042, 1043, 1044, 1045, 1046, 1047, 1048, 1049, 1050, 1051	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
96	−	96:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 602, 899, 900, 901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955, 956, 957, 993, 994, 995, 996, 997, 998, 999, 1000, 1001, 1002, 1003, 1004, 1040, 1041, 1042, 1043, 1044, 1045, 1046, 1047, 1048, 1049, 1050, 1051, 1087, 1088, 1089, 1090, 1091, 1092, 1093, 1094, 1095, 1096, 1097, 1098	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
97	−	97:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 602, 899, 900, 901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955, 956, 957, 993, 994, 995, 996, 997, 998, 999, 1000, 1001, 1002, 1003, 1004, 1040, 1041, 1042, 1043, 1044, 1045, 1046, 1047, 1048, 1049, 1050, 1051, 1087, 1088, 1089, 1090, 1091, 1092, 1093, 1094, 1095, 1096, 1097, 1098, 1134, 1135, 1136, 1137, 1138, 1139, 1140, 1141, 1142, 1143, 1144, 1145	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
98	−	98:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 602, 899, 900, 901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955, 956, 957, 993, 994, 995, 996, 997, 998, 999, 1000, 1001, 1002, 1003, 1004, 1040, 1041, 1042, 1043, 1044, 1045, 1046, 1047, 1048, 1049, 1050, 1051, 1087, 1088, 1089, 1090, 1091, 1092, 1093, 1094, 1095, 1096, 1097, 1098, 1134, 1135, 1136, 1137, 1138, 1139, 1140, 1141, 1142, 1143, 1144, 1145	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 1181, 1182, 1183, 1184, 1185, 1186, 1187, 1188, 1189, 1190, 1191, 1192	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
99	−	99:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 602, 899, 900, 901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955, 956, 957, 993, 994, 995, 996, 997, 998, 999, 1000, 1001, 1002, 1003, 1004, 1040, 1041, 1042, 1043, 1044, 1045, 1046, 1047, 1048, 1049, 1050, 1051, 1087, 1088, 1089, 1090, 1091, 1092, 1093, 1094, 1095, 1096, 1097, 1098, 1134, 1135, 1136, 1137, 1138, 1139, 1140, 1141, 1142, 1143, 1144, 1145, 1181, 1182, 1183, 1184, 1185, 1186, 1187, 1188, 1189, 1190, 1191, 1192	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 1496	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
100	−	100:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 602, 899, 900, 901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955, 956, 957, 993, 994, 995, 996, 997, 998, 999, 1000, 1001, 1002, 1003, 1004, 1040, 1041, 1042, 1043, 1044, 1045, 1046, 1047, 1048, 1049, 1050, 1051, 1087, 1088, 1089, 1090, 1091, 1092, 1093, 1094, 1095, 1096, 1097, 1098, 1134, 1135, 1136, 1137, 1138, 1139, 1140, 1141, 1142, 1143, 1144, 1145, 1181, 1182, 1183, 1184, 1185, 1186, 1187, 1188, 1189, 1190, 1191, 1192	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 1496	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 1493
101	−	101:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 602, 899, 900, 901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955, 956, 957, 993, 994, 995, 996, 997, 998, 999, 1000, 1001, 1002, 1003, 1004, 1040, 1041, 1042, 1043, 1044, 1045, 1046, 1047, 1048, 1049, 1050, 1051, 1087, 1088, 1089, 1090, 1091, 1092, 1093, 1094, 1095, 1096, 1097, 1098, 1134, 1135, 1136, 1137, 1138, 1139, 1140, 1141, 1142, 1143, 1144, 1145, 1181, 1182, 1183, 1184, 1185, 1186, 1187, 1188, 1189, 1190, 1191, 1192, 1793, 1794, 1795, 1796, 1797, 1798, 1799, 1800, 1801, 1802, 1803, 1804	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 1496	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 1493
102	−	102:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 602, 899, 900, 901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955, 956, 957, 993, 994, 995, 996, 997, 998, 999, 1000, 1001, 1002, 1003, 1004, 1040, 1041, 1042, 1043, 1044, 1045, 1046, 1047, 1048, 1049, 1050, 1051, 1087, 1088, 1089, 1090, 1091, 1092, 1093, 1094, 1095, 1096, 1097, 1098, 1134, 1135, 1136, 1137, 1138, 1139, 1140, 1141, 1142, 1143, 1144, 1145, 1181, 1182, 1183, 1184, 1185, 1186, 1187, 1188, 1189, 1190, 1191, 1192, 1793, 1794, 1795, 1796, 1797, 1798, 1799, 1800, 1801, 1802, 1803, 1804, 1840, 1841, 1842, 1843, 1844, 1845, 1846, 1847, 1848, 1849, 1850, 1851	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 1496	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 1493
103	−	103:   	−    	64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 602, 899, 900, 901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955, 956, 957, 993, 994, 995, 996, 997, 998, 999, 1000, 1001, 1002, 1003, 1004, 1040, 1041, 1042, 1043, 1044, 1045, 1046, 1047, 1048, 1049, 1050, 1051, 1087, 1088, 1089, 1090, 1091, 1092, 1093, 1094, 1095, 1096, 1097, 1098, 1134, 1135, 1136, 1137, 1138, 1139, 1140, 1141, 1142, 1143, 1144, 1145, 1181, 1182, 1183, 1184, 1185, 1186, 1187, 1188, 1189, 1190, 1191, 1192, 1793, 1794, 1795, 1796, 1797, 1798, 1799, 1800, 1801, 1802, 1803, 1804, 1840, 1841, 1842, 1843, 1844, 1845, 1846, 1847, 1848, 1849, 1850, 1851	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 1496, 1887, 1888, 1889, 1890, 1891, 1892, 1893, 1894, 1895, 1896, 1897, 1898	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 1493
