Identifiers (BCID) for paired and unpaired bunches for run 354124:
(Begin/end of run: Tue Jun 26 2018 00:36:18 − 14:41:11)
LB range	    Stable
beams	  Crossing (Paired)	  Unpaired Beam-1 	  Unpaired Beam-2
1	−	48:   	−    	1	301, 601, 795, 1195, 1495, 1786	201, 401, 621, 892, 1112
49	−	49:   	−    	1	601, 795, 1195, 1495, 1786	201, 401, 621, 892, 1112
50	−	51:   	−    	1	795, 1195, 1495, 1786	201, 401, 621, 892, 1112
52	−	52:   	−    	1	795, 1195, 1495, 1786	401, 621, 892, 1112
53	−	93:   	−    	1	795, 1195, 1495, 1786	621, 892, 1112
94	−	144:   	−    	−	−	−
145	−	145:   	−    	−	309	−
146	−	151:   	−    	309	−	−
152	−	153:   	−    	1, 309	−	−
154	−	154:   	−    	1, 309	301	201
155	−	155:   	−    	1	301, 601	201
156	−	156:   	−    	1	301, 601	201, 401, 621
157	−	157:   	−    	1	301, 601, 795	201, 401, 621, 1112
158	−	190:   	−    	1	301, 601, 795, 1195	201, 401, 621, 1112
191	−	192:   	−    	1	601, 795, 1195	201, 401, 621, 1112
193	−	194:   	−    	1	795, 1195	201, 401, 621, 1112
195	−	196:   	−    	1	795, 1195	401, 621, 1112
197	−	208:   	−    	1	795, 1195	621, 1112
209	−	209:   	−    	1	795	621, 1112
210	−	358:   	−    	−	−	−
359	−	361:   	−    	−	325	−
362	−	371:   	−    	325	−	−
372	−	402:   	−    	325	−	17, 38, 59, 80, 101, 122, 143, 164
403	−	416:   	−    	325	4	17, 38, 59, 80, 101, 122, 143, 164
417	−	420:   	−    	325	4, 753, 774, 795, 816	17, 38, 59, 80, 101, 122, 143, 164
421	−	422:   	−    	325	4, 753, 774, 795, 816, 869, 890, 911, 932, 953, 974, 995, 1016	17, 38, 59, 80, 101, 122, 143, 164
423	−	426:   	−    	325, 869, 890, 911, 932, 953, 974, 995, 1016	4, 753, 774, 795, 816	17, 38, 59, 80, 101, 122, 143, 164
427	−	427:   	−    	325, 869, 890, 911, 932, 953, 974, 995, 1016	4, 753, 774, 795, 816	17, 38, 59, 80, 101, 122, 143, 164, 1051, 1072, 1093, 1114, 1135, 1156, 1177, 1198
428	−	429:   	−    	325, 869, 890, 911, 932, 953, 974, 995, 1016, 1051, 1072, 1093, 1114, 1135, 1156, 1177, 1198	4, 753, 774, 795, 816	17, 38, 59, 80, 101, 122, 143, 164
430	−	431:   	−    	−	−	−
432	−	436:   	−    	325	−	−
437	−	437:   	−    	325	−	17, 38, 59, 80, 101, 122, 143, 164
438	−	438:   	−    	325	−	17, 38, 59, 80, 101, 122, 143, 164, 202, 223, 244, 265, 286, 307, 328, 349
439	−	439:   	−    	−	325	17, 38, 59, 80, 101, 122, 143, 164, 202, 223, 244, 265, 286, 307, 328, 349
440	−	440:   	−    	17, 38, 59, 80, 101, 122, 143, 164	325	202, 223, 244, 265, 286, 307, 328, 349
441	−	441:   	−    	17, 38, 59, 80, 101, 122, 143, 164, 202, 223, 244, 265, 286, 307, 328, 349	325	381, 402, 423, 444, 465, 486, 507, 528
442	−	443:   	−    	17, 38, 59, 80, 101, 122, 143, 164, 202, 223, 244, 265, 286, 307, 328, 349, 381, 402, 423, 444, 465, 486, 507, 528	−	560, 581, 602, 623, 644, 665, 686, 707
444	−	444:   	−    	17, 38, 59, 80, 101, 122, 143, 164, 202, 223, 244, 265, 286, 307, 328, 349, 381, 402, 423, 444, 465, 486, 507, 528, 560, 581, 602, 623, 644, 665, 686, 707	753, 774, 795, 816	−
445	−	445:   	−    	17, 38, 59, 80, 101, 122, 143, 164, 202, 223, 244, 265, 286, 307, 328, 349, 381, 402, 423, 444, 465, 486, 507, 528, 560, 581, 602, 623, 644, 665, 686, 707, 753, 774, 795, 816	−	−
446	−	446:   	−    	17, 38, 59, 80, 101, 122, 143, 164, 202, 223, 244, 265, 286, 307, 328, 349, 381, 402, 423, 444, 465, 486, 507, 528, 560, 581, 602, 623, 644, 665, 686, 707, 753, 774, 795, 816, 869, 890, 911, 932, 953, 974, 995, 1016	−	−
